year,office,candidate,first_name_fix,middle_name_fix,last_name_fix,suffix_fix
2003,JUSTICE OF THE SUPREME COURT,CHERYL ALLEN,CHERYL,LYNN,ALLEN,
2019,COUNCIL AT LARGE,ERIKA ALMIRÃ“N,ERIKA,,ALMIRON,
2011,DISTRICT COUNCIL,VERN ANASTASIO,VERNON,,ANASTASIO,
2015,DISTRICT COUNCIL,CINDY BASS,CINDY,M,BASS,
2019,DISTRICT COUNCIL,CINDY BASS,CINDY,M,BASS,
2011,REGISTER OF WILLS,LINDA W BATEMAN,LINDA,M WOLFE,BATEMAN,
2013,JUDGE OF THE COURT OF COMMON PLEAS,FRANK BENNETT,FRANKLIN,A,BENNETT,III
2013,JUDGE OF THE MUNICIPAL COURT,FRANK BENNETT,FRANKLIN,A,BENNETT,III
2015,JUDGE OF THE COURT OF COMMON PLEAS,FRANKLIN A BENNETT III,FRANKLIN,A,BENNETT,III
2015,JUDGE OF THE MUNICIPAL COURT,FRANKLIN A BENNETT III,FRANKLIN,A,BENNETT,III
2002,REPRESENTATIVE IN THE GENERAL ASSEMBLY,LOUISE BISHOP,LOUISE,WILLIAMS,BISHOP,
2004,REPRESENTATIVE IN THE GENERAL ASSEMBLY,LOUISE BISHOP,LOUISE,WILLIAMS,BISHOP,
2006,REPRESENTATIVE IN THE GENERAL ASSEMBLY,LOUISE BISHOP,LOUISE,WILLIAMS,BISHOP,
2010,REPRESENTATIVE IN THE GENERAL ASSEMBLY,LOUISE BISHOP,LOUISE,WILLIAMS,BISHOP,
2012,REPRESENTATIVE IN THE GENERAL ASSEMBLY,LOUISE BISHOP,LOUISE,WILLIAMS,BISHOP,
2014,REPRESENTATIVE IN THE GENERAL ASSEMBLY,LOUISE BISHOP,LOUISE,WILLIAMS,BISHOP,
2004,REPRESENTATIVE IN THE GENERAL ASSEMBLY,THOMAS W BLACKWELL IV,THOMAS,W,BLACKWELL,IV
2006,REPRESENTATIVE IN THE GENERAL ASSEMBLY,THOMAS W BLACKWELL,THOMAS,W,BLACKWELL,IV
2008,REPRESENTATIVE IN THE GENERAL ASSEMBLY,THOMAS W BLACKWELL,THOMAS,W,BLACKWELL,IV
2010,REPRESENTATIVE IN THE GENERAL ASSEMBLY,MALIK BOYD,MALIK,L,BOYD,
2018,REPRESENTATIVE IN THE GENERAL ASSEMBLY,DANILO BURGOS,DANILO,R,BURGOS,
2002,REPRESENTATIVE IN THE GENERAL ASSEMBLY,ALAN BUTKOVITZ,ALAN,L,BUTKOVITZ,
2004,REPRESENTATIVE IN THE GENERAL ASSEMBLY,ALAN BUTKOVITZ,ALAN,L,BUTKOVITZ,
2005,CITY CONTROLLER,ALAN BUTKOVITZ,ALAN,L,BUTKOVITZ,
2013,CITY CONTROLLER,ALAN BUTKOVITZ,ALAN,L,BUTKOVITZ,
2019,MAYOR,ALAN BUTKOVITZ,ALAN,L,BUTKOVITZ,
2019,CITY COMMISSIONERS,CARLA CAIN,CARLA,M,CAIN,
