year,election,office,candidate,first_name,middle_name,last_name,suffix
2002,general,GOVERNOR,ED RENDELL,ED,,RENDELL,
2002,general,GOVERNOR,MICHAEL MORRILL,MICHAEL,,MORRILL,
2002,general,GOVERNOR,KEN V KRAWCHUK,KEN,V,KRAWCHUK,
2002,general,GOVERNOR,MIKE FISHER,MIKE,,FISHER,
2002,general,REPRESENTATIVE IN CONGRESS,ROBERT A BRADY,ROBERT,A,BRADY,
2002,general,REPRESENTATIVE IN CONGRESS,MIKE EWALL,MIKE,,EWALL,
2002,general,REPRESENTATIVE IN CONGRESS,MARIE G DELANY,MARIE,G,DELANY,
2002,general,REPRESENTATIVE IN CONGRESS,JOHN P MC DERMOTT,JOHN,P,MCDERMOTT,
2002,general,REPRESENTATIVE IN CONGRESS,JOSEPH M HOEFFEL,JOSEPH,M,HOEFFEL,
2002,general,REPRESENTATIVE IN CONGRESS,MELISSA BROWN,MELISSA,,BROWN,
2002,general,REPRESENTATIVE IN CONGRESS,CHAKA FATTAH,CHAKA,,FATTAH,
2002,general,REPRESENTATIVE IN CONGRESS,THOMAS G DOUGHERTY,THOMAS,G,DOUGHERTY,
2002,general,REPRESENTATIVE IN CONGRESS,TIMOTHY T REECE,TIMOTHY,T,REECE,
2002,general,REPRESENTATIVE IN CONGRESS,JIM GREENWOOD,JIM,,GREENWOOD,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,ROY W CORNELL,ROY,W,CORNELL,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,LAWRENCE H CURRY,LAWRENCE,H,CURRY,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,DENNIS M O BRIEN,DENNIS,M,OBRIEN,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,HARRY C CITRINO III,HARRY,C,CITRINO,III
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,GEORGE T KENNEY JR,GEORGE,T,KENNEY,JR
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,PAUL PRIOR,PAUL,,PRIOR,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JOHN M PERZEL,JOHN,M,PERZEL,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,MICHAEL P MC GEEHAN,MICHAEL,PATRICK,MCGEEHAN,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,DAVID J LINSALATA,DAVID,J,LINSALATA,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,ALAN BUTKOVITZ,ALAN,L,BUTKOVITZ,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,GLENN C ROMANO,GLENN,C,ROMANO,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,MARIE LEDERER,MARIE,,LEDERER,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,PATRICK PARKINSON,PATRICK,,PARKINSON,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JOHN J TAYLOR,JOHN,J,TAYLOR,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,WILLIAM W RIEGER,WILLIAM,W,RIEGER,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,FRANK M GARCIA,FRANK,M,GARCIA,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,TROY L BOUIE,TROY,L,BOUIE,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,ANGEL CRUZ,ANGEL,L,CRUZ,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,ERNST FORD,ERNST,,FORD,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,STEVEN N KUSH,STEVEN,N,KUSH,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,W CURTIS THOMAS,W,CURTIS,THOMAS,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,BABETTE JOSEPHS,BABETTE,,JOSEPHS,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JONATHAN S GOLDSTEIN,JONATHAN,S,GOLDSTEIN,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,WILLIAM KELLER,WILLIAM,F,KELLER,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,ROBERT C DONATUCCI,ROBERT,C,DONATUCCI,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,MICHAEL C GALLAGHER,MICHAEL,C,GALLAGHER,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,HAROLD JAMES,HAROLD,,JAMES,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JAMES R ROEBUCK,JAMES,R,ROEBUCK,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,MICHAEL HORSEY,MICHAEL,,HORSEY,
